used, name, tilenum
0, TOILETBROKE__STATIC, 615
1, PIPE2__STATIC, 616
0, PIPE1B__STATIC, 617
1, PIPE3__STATIC, 618
1, PIPE1__STATIC, 619
1, CAMERA1__STATIC, 621
0, PIPE2B__STATIC, 633
1, BOLT1__STATIC, 634
0, W_NUMBERS__STATIC, 640
1, WATERDRIP__STATIC, 660
1, WATERBUBBLE__STATIC, 661
1, WATERBUBBLEMAKER__STATIC, 662
1, W_FORCEFIELD__STATIC, 663
1, VACUUM__STATIC, 669
1, FOOTPRINTS2__STATIC, 672
1, FOOTPRINTS3__STATIC, 673
1, FOOTPRINTS4__STATIC, 674
1, EGG__STATIC, 675
1, SCALE__STATIC, 678
1, CHAIR3__STATIC, 680
1, CAMERALIGHT__STATIC, 685
1, MOVIECAMERA__STATIC, 686
1, IVUNIT__STATIC, 689
1, POT1__STATIC, 694
1, POT2__STATIC, 695
1, POT3__STATIC, 697
0, PIPE3B__STATIC, 700
1, WALLLIGHT3__STATIC, 701
0, WALLLIGHTBUST3__STATIC, 702
1, WALLLIGHT1__STATIC, 703
0, WALLLIGHTBUST1__STATIC, 704
1, WALLLIGHT2__STATIC, 705
0, WALLLIGHTBUST2__STATIC, 706
1, LIGHTSWITCH2__STATIC, 712
1, WAITTOBESEATED__STATIC, 716
1, DOORTILE14__STATIC, 717
1, STATUE__STATIC, 753
1, MIKE__STATIC, 762
1, VASE__STATIC, 765
1, SUSHIPLATE1__STATIC, 768
1, SUSHIPLATE2__STATIC, 769
1, SUSHIPLATE3__STATIC, 774
1, SUSHIPLATE4__STATIC, 779
1, DOORTILE16__STATIC, 781
1, SUSHIPLATE5__STATIC, 792
1, OJ__STATIC, 806
1, MASKWALL13__STATIC, 830
1, HURTRAIL__STATIC, 859
1, POWERSWITCH1__STATIC, 860
1, LOCKSWITCH1__STATIC, 862
1, POWERSWITCH2__STATIC, 864
1, ATM__STATIC, 867
1, STATUEFLASH__STATIC, 869
0, ATMBROKE__STATIC, 888
1, STRIPEBALL__STATIC, 901
1, QUEBALL__STATIC, 902
0, POCKET__STATIC, 903
1, WOODENHORSE__STATIC, 904
1, TREE1__STATIC, 908
1, TREE2__STATIC, 910
1, CACTUS__STATIC, 911
1, MASKWALL2__STATIC, 913
1, MASKWALL3__STATIC, 914
1, MASKWALL4__STATIC, 915
1, FIREEXT__STATIC, 916
1, TOILETWATER__STATIC, 921
1, NEON1__STATIC, 925
1, NEON2__STATIC, 926
1, CACTUSBROKE__STATIC, 939
1, BOUNCEMINE__STATIC, 940
0, BROKEFIREHYDRENT__STATIC, 950
1, BOX__STATIC, 951
1, BULLETHOLE__STATIC, 952
1, BOTTLE1__STATIC, 954
1, BOTTLE2__STATIC, 955
1, BOTTLE3__STATIC, 956
1, BOTTLE4__STATIC, 957
1, FEMPIC5__STATIC, 963
1, FEMPIC6__STATIC, 964
1, FEMPIC7__STATIC, 965
1, HYDROPLANT__STATIC, 969
1, OCEANSPRITE1__STATIC, 971
1, OCEANSPRITE2__STATIC, 972
1, OCEANSPRITE3__STATIC, 973
1, OCEANSPRITE4__STATIC, 974
1, OCEANSPRITE5__STATIC, 975
1, GENERICPOLE__STATIC, 977
1, CONE__STATIC, 978
1, HANGLIGHT__STATIC, 979
1, HYDRENT__STATIC, 981
1, MASKWALL14__STATIC, 988
1, TIRE__STATIC, 990
1, PIPE5__STATIC, 994
1, PIPE6__STATIC, 995
1, PIPE4__STATIC, 996
0, PIPE4B__STATIC, 997
1, BROKEHYDROPLANT__STATIC, 1003
0, PIPE5B__STATIC, 1005
1, NEON3__STATIC, 1007
1, NEON4__STATIC, 1008
1, NEON5__STATIC, 1009
1, BOTTLE5__STATIC, 1012
1, BOTTLE6__STATIC, 1013
1, BOTTLE8__STATIC, 1014
1, SPOTLITE__STATIC, 1020
1, MASKWALL15__STATIC, 1024
1, BOTTLE7__STATIC, 1025
1, HORSEONSIDE__STATIC, 1026
1, GLASSPIECES__STATIC, 1031
1, NEON6__STATIC, 1046
1, MASKWALL6__STATIC, 1059
1, RUBBERCAN__STATIC, 1062
1, PLUG__STATIC, 1069
1, OOZFILTER__STATIC, 1079
1, FLOORPLASMA__STATIC, 1082
1, REACTOR__STATIC, 1088
1, REACTORSPARK__STATIC, 1092
1, REACTORBURNT__STATIC, 1096
1, DOORTILE15__STATIC, 1102
1, HANDSWITCH__STATIC, 1111
1, CIRCLEPANNEL__STATIC, 1113
0, CIRCLEPANNELBROKE__STATIC, 1114
1, PULLSWITCH__STATIC, 1122
1, MASKWALL8__STATIC, 1124
0, BIGHOLE__STATIC, 1141
1, ALIENSWITCH__STATIC, 1142
1, DOORTILE21__STATIC, 1144
1, HANDPRINTSWITCH__STATIC, 1155
1, BOTTLE10__STATIC, 1157
1, BOTTLE11__STATIC, 1158
1, BOTTLE12__STATIC, 1159
1, BOTTLE13__STATIC, 1160
1, BOTTLE14__STATIC, 1161
1, BOTTLE15__STATIC, 1162
1, BOTTLE16__STATIC, 1163
1, BOTTLE17__STATIC, 1164
1, BOTTLE18__STATIC, 1165
1, BOTTLE19__STATIC, 1166
1, DOORTILE17__STATIC, 1169
1, MASKWALL7__STATIC, 1174
1, DOORTILE11__STATIC, 1178
1, DOORTILE12__STATIC, 1179
1, VENDMACHINE__STATIC, 1212
1, COLAMACHINE__STATIC, 1215
0, CRANEPOLE__STATIC, 1221
1, CRANE__STATIC, 1222
0, BARBROKE__STATIC, 1225
1, BLOODPOOL__STATIC, 1226
1, NUKEBARREL__STATIC, 1227
1, NUKEBARRELDENTED__STATIC, 1228
1, NUKEBARRELLEAKED__STATIC, 1229
1, CANWITHSOMETHING__STATIC, 1232
1, MONEY__STATIC, 1233
0, BANNER__STATIC, 1236
1, EXPLODINGBARREL__STATIC, 1238
0, EXPLODINGBARREL2__STATIC, 1239
1, FIREBARREL__STATIC, 1240
1, SEENINE__STATIC, 1247
0, SEENINEDEAD__STATIC, 1248
1, STEAM__STATIC, 1250
1, CEILINGSTEAM__STATIC, 1255
0, PIPE6B__STATIC, 1260
1, TRANSPORTERBEAM__STATIC, 1261
1, RAT__STATIC, 1267
1, TRASH__STATIC, 1272
1, FEMPIC1__STATIC, 1280
1, FEMPIC2__STATIC, 1289
0, BLANKSCREEN__STATIC, 1293
1, PODFEM1__STATIC, 1294
1, FEMPIC3__STATIC, 1298
1, FEMPIC4__STATIC, 1306
1, FEM1__STATIC, 1312
1, FEM2__STATIC, 1317
1, FEM3__STATIC, 1321
1, FEM5__STATIC, 1323
1, BLOODYPOLE__STATIC, 1324
1, FEM4__STATIC, 1325
1, FEM6__STATIC, 1334
1, FEM6PAD__STATIC, 1335
1, FEM8__STATIC, 1336
1, HELECOPT__STATIC, 1346
1, FETUSJIB__STATIC, 1347
1, HOLODUKE__STATIC, 1348
1, SPACEMARINE__STATIC, 1353
1, INDY__STATIC, 1355
1, FETUS__STATIC, 1358
1, FETUSBROKE__STATIC, 1359
1, MONK__STATIC, 1352
1, LUKE__STATIC, 1354
1, COOLEXPLOSION1__STATIC, 1360
1, WATERSPLASH2__STATIC, 1380
1, FIREVASE__STATIC, 1390
1, FEM7__STATIC, 1395
0, APLAYERTOP__STATIC, 1400
1, APLAYER__STATIC, 1405
1, PLAYERONWATER__STATIC, 1420
1, DUKELYINGDEAD__STATIC, 1518
1, DUKETORSO__STATIC, 1520
1, DUKEGUN__STATIC, 1528
1, DUKELEG__STATIC, 1536
1, SHARK__STATIC, 1550
1, BLOOD__STATIC, 1620
1, FIRELASER__STATIC, 1625
1, TRANSPORTERSTAR__STATIC, 1630
1, SPIT__STATIC, 1636
0, LOOGIE__STATIC, 1637
0, FIST__STATIC, 1640
1, FREEZEBLAST__STATIC, 1641
1, SHRINKSPARK__STATIC, 1646
1, TONGUE__STATIC, 1647
1, MORTER__STATIC, 1650
1, SHRINKEREXPLOSION__STATIC, 1656
1, RADIUSEXPLOSION__STATIC, 1670
1, FORCERIPPLE__STATIC, 1671
1, LIZTROOP__STATIC, 1680
1, LIZTROOPRUNNING__STATIC, 1681
1, LIZTROOPSTAYPUT__STATIC, 1682
1, LIZTROOPSHOOT__STATIC, 1715
1, LIZTROOPJETPACK__STATIC, 1725
1, LIZTROOPONTOILET__STATIC, 1741
1, LIZTROOPJUSTSIT__STATIC, 1742
1, LIZTROOPDUCKING__STATIC, 1744
1, HEADJIB1__STATIC, 1768
1, ARMJIB1__STATIC, 1772
1, LEGJIB1__STATIC, 1776
1, OCTABRAIN__STATIC, 1820
1, OCTABRAINSTAYPUT__STATIC, 1821
1, INNERJAW__STATIC, 1860
1, DRONE__STATIC, 1880
1, EXPLOSION2__STATIC, 1890
1, COMMANDER__STATIC, 1920
1, COMMANDERSTAYPUT__STATIC, 1921
1, RECON__STATIC, 1960
0, TANK__STATIC, 1975
1, PIGCOP__STATIC, 2000
1, PIGCOPSTAYPUT__STATIC, 2001
1, PIGCOPDIVE__STATIC, 2045
1, LIZMAN__STATIC, 2120
1, LIZMANSTAYPUT__STATIC, 2121
1, LIZMANSPITTING__STATIC, 2150
1, LIZMANFEEDING__STATIC, 2160
1, LIZMANJUMP__STATIC, 2165
1, FECES__STATIC, 2200
1, LIZMANHEAD1__STATIC, 2201
1, LIZMANARM1__STATIC, 2205
1, LIZMANLEG1__STATIC, 2209
1, EXPLOSION2BOT__STATIC, 2219
1, JIBS1__STATIC, 2245
1, JIBS2__STATIC, 2250
1, JIBS3__STATIC, 2255
1, JIBS4__STATIC, 2260
1, JIBS5__STATIC, 2265
1, BURNING__STATIC, 2270
1, FIRE__STATIC, 2271
1, JIBS6__STATIC, 2286
1, BLOODSPLAT1__STATIC, 2296
1, BLOODSPLAT3__STATIC, 2297
1, BLOODSPLAT2__STATIC, 2298
1, BLOODSPLAT4__STATIC, 2299
1, OOZ__STATIC, 2300
1, OOZ2__STATIC, 2309
1, WALLBLOOD1__STATIC, 2301
1, WALLBLOOD2__STATIC, 2302
1, WALLBLOOD3__STATIC, 2303
1, WALLBLOOD4__STATIC, 2304
1, WALLBLOOD5__STATIC, 2305
1, WALLBLOOD7__STATIC, 2307
1, WALLBLOOD8__STATIC, 2308
1, BURNING2__STATIC, 2310
1, FIRE2__STATIC, 2311
0, CRACKKNUCKLES__STATIC, 2324
1, SMALLSMOKE__STATIC, 2329
1, FLOORFLAME__STATIC, 2333
1, ROTATEGUN__STATIC, 2360
1, GREENSLIME__STATIC, 2370
1, WATERDRIPSPLASH__STATIC, 2380
0, SCRAP6__STATIC, 2390
1, SCRAP1__STATIC, 2400
1, SCRAP2__STATIC, 2404
1, SCRAP3__STATIC, 2408
1, SCRAP4__STATIC, 2412
1, SCRAP5__STATIC, 2416
1, ORGANTIC__STATIC, 2420
0, BETAVERSION__STATIC, 2440
0, SELECTDIR__STATIC, 2444
0, F1HELP__STATIC, 2445
1, GROWSPARK__STATIC, 2448
0, MENUSCREEN__STATIC, 2456
0, MENUBAR__STATIC, 2457
0, KILLSICON__STATIC, 2458
0, FIRSTAID_ICON__STATIC, 2460
0, HEAT_ICON__STATIC, 2461
0, BOTTOMSTATUSBAR__STATIC, 2462
0, BOOT_ICON__STATIC, 2463
0, FRAGBAR__STATIC, 2465
0, JETPACK_ICON__STATIC, 2467
0, AIRTANK_ICON__STATIC, 2468
0, STEROIDS_ICON__STATIC, 2469
0, HOLODUKE_ICON__STATIC, 2470
0, ACCESS_ICON__STATIC, 2471
0, DIGITALNUM__STATIC, 2472
1, DUKECAR__STATIC, 2491
0, CAMCORNER__STATIC, 2482
0, CAMLIGHT__STATIC, 2484
0, SLIDEBAR__STATIC, 2489
0, DREALMS__STATIC, 2492
0, BETASCREEN__STATIC, 2493
0, WINDOWBORDER1__STATIC, 2494
0, TEXTBOX__STATIC, 2495
0, WINDOWBORDER2__STATIC, 2496
0, DUKENUKEM__STATIC, 2497
0, THREEDEE__STATIC, 2498
0, INGAMEDUKETHREEDEE__STATIC, 2499
0, TENSCREEN__STATIC, 2500
0, PLUTOPAKSPRITE__STATIC, 2501
0, DEVISTATOR__STATIC, 2510
1, KNEE__STATIC, 2521
0, CROSSHAIR__STATIC, 2523
0, FIRSTGUN__STATIC, 2524
0, FIRSTGUNRELOAD__STATIC, 2528
1, SHELL__STATIC, 2533
1, SHOTGUNSHELL__STATIC, 2535
1, CHAINGUN__STATIC, 2536
0, RPGGUN__STATIC, 2544
0, FREEZE__STATIC, 2548
1, SHRINKER__STATIC, 2556
1, HANDHOLDINGLASER__STATIC, 2563
1, TRIPBOMB__STATIC, 2566
1, LASERLINE__STATIC, 2567
0, HANDHOLDINGACCESS__STATIC, 2568
0, HANDREMOTE__STATIC, 2570
0, HANDTHROW__STATIC, 2573
0, TIP__STATIC, 2576
0, SCUBAMASK__STATIC, 2581
1, FORCESPHERE__STATIC, 2590
1, SHOTSPARK1__STATIC, 2595
1, RPG__STATIC, 2605
1, LASERSITE__STATIC, 2612
1, SHOTGUN__STATIC, 2613
1, BOSS1__STATIC, 2630
1, BOSS1STAYPUT__STATIC, 2631
0, BOSS1SHOOT__STATIC, 2660
0, BOSS1LOB__STATIC, 2670
0, BOSSTOP__STATIC, 2696
1, BOSS2__STATIC, 2710
1, BOSS3__STATIC, 2760
0, SPINNINGNUKEICON__STATIC, 2813
0, SMALLFNTCURSOR__STATIC, 2821
0, STARTALPHANUM__STATIC, 2822
0, ENDALPHANUM__STATIC, 2915
0, BIGALPHANUM__STATIC, 2940
0, BIGPERIOD__STATIC, 3002
0, BIGCOMMA__STATIC, 3003
0, BIGX__STATIC, 3004
0, BIGQ__STATIC, 3005
0, BIGSEMI__STATIC, 3006
0, BIGCOLIN__STATIC, 3007
0, THREEBYFIVE__STATIC, 3010
0, BIGAPPOS__STATIC, 3022
0, MINIFONT__STATIC, 3072
1, RESPAWNMARKERRED__STATIC, 3190
1, RESPAWNMARKERYELLOW__STATIC, 3200
1, RESPAWNMARKERGREEN__STATIC, 3210
0, BONUSSCREEN__STATIC, 3240
0, VIEWBORDER__STATIC, 3250
0, VICTORY1__STATIC, 3260
0, ORDERING__STATIC, 3270
0, TEXTSTORY__STATIC, 3280
0, LOADSCREEN__STATIC, 3281
1, BORNTOBEWILDSCREEN__STATIC, 3370
1, BLIMP__STATIC, 3400
1, FEM9__STATIC, 3450
1, FRAMEEFFECT1_13__STATIC, 3999
1, FRAMEEFFECT1__STATIC, 4095
1, PANNEL3__STATIC, 4099
1, SCREENBREAK14__STATIC, 4120
1, SCREENBREAK15__STATIC, 4123
1, SCREENBREAK19__STATIC, 4125
1, SCREENBREAK16__STATIC, 4127
1, SCREENBREAK17__STATIC, 4128
1, SCREENBREAK18__STATIC, 4129
1, W_TECHWALL11__STATIC, 4130
1, W_TECHWALL12__STATIC, 4131
1, W_TECHWALL13__STATIC, 4132
1, W_TECHWALL14__STATIC, 4133
1, W_TECHWALL5__STATIC, 4134
1, W_TECHWALL6__STATIC, 4136
1, W_TECHWALL7__STATIC, 4138
1, W_TECHWALL8__STATIC, 4140
1, W_TECHWALL9__STATIC, 4142
0, BPANNEL3__STATIC, 4100
0, W_HITTECHWALL16__STATIC, 4144
0, W_HITTECHWALL10__STATIC, 4145
0, W_HITTECHWALL15__STATIC, 4147
1, W_MILKSHELF__STATIC, 4181
0, W_MILKSHELFBROKE__STATIC, 4203
0, PURPLELAVA__STATIC, 4240
1, TARGET__STATIC, 4359
1, DUCK__STATIC, 4361
1, PUKE__STATIC, 4389
1, DOORTILE23__STATIC, 4391
0, SPEAKER__STATIC, 4397
1, MAIL__STATIC, 4410
1, HOTMEAT__STATIC, 4427
1, TRIPODCAMERA__STATIC, 4444
1, PAPER__STATIC, 4460
1, GENERICPOLE2__STATIC, 4465
1, XXXSTACY__STATIC, 4470
1, LETTER__STATIC, 4502
1, SIDEBOLT1__STATIC, 4525
1, FOODOBJECT16__STATIC, 4545
1, TAMPON__STATIC, 4557
1, CANWITHSOMETHING2__STATIC, 4580
1, CANWITHSOMETHING3__STATIC, 4581
1, CANWITHSOMETHING4__STATIC, 4582
1, DOLPHIN1__STATIC, 4591
1, DOLPHIN2__STATIC, 4592
1, NEWBEAST__STATIC, 4610
1, NEWBEASTSTAYPUT__STATIC, 4611
1, BOSS4__STATIC, 4740
1, BOSS4STAYPUT__STATIC, 4741
1, FEM10__STATIC, 4864
1, TOUGHGAL__STATIC, 4866
1, MAN__STATIC, 4871
1, MAN2__STATIC, 4872
1, WOMAN__STATIC, 4874
1, NATURALLIGHTNING__STATIC, 4890
1, WEATHERWARN__STATIC, 4893
1, DUKETAG__STATIC, 4900
1, SIGN1__STATIC, 4909
1, SIGN2__STATIC, 4912
1, JURYGUY__STATIC, 4943
0, WIDESCREENSTATUSBAR__STATIC, 5120
0, RPGGUNWIDE__STATIC, 5121
0, FIRSTGUNRELOADWIDE__STATIC, 5122
0, FREEZEWIDE__STATIC, 5123
0, FREEZEFIREWIDE__STATIC, 5124
0, SHRINKERWIDE__STATIC, 5127
0, CRACKKNUCKLESWIDE__STATIC, 5129
1, FLAMETHROWERSPRITE__STATIC, 5134
1, FLAMETHROWERAMMO__STATIC, 5135
0, FLAMETHROWER__STATIC, 5138
0, FLAMETHROWERFIRE__STATIC, 5139
1, FLAMETHROWERFLAME__STATIC, 1891
0, FLAMETHROWERPILOT__STATIC, 5174
1, FIREBALL__STATIC, 5163
1, ONFIRE__STATIC, 5152
1, ONFIRESMOKE__STATIC, 5143
1, BURNEDCORPSE__STATIC, 5173
1, WHISPYSMOKE__STATIC, 5268
1, FIREFLY__STATIC, 5180
0, FIREFLYSHRINKEFFECT__STATIC, 5360
0, FIREFLYGROWEFFECT__STATIC, 5367
1, FIREFLYFLYINGEFFECT__STATIC, 5296
1, BOSS5__STATIC, 5310
1, BOSS5STAYPUT__STATIC, 5311
1, LAVAPOOL__STATIC, 5304
0, LAVASPLASH__STATIC, 5371
1, LAVAPOOLBUBBLE__STATIC, 5207
1, BOSS2STAYPUT__STATIC, 2711
1, BOSS3STAYPUT__STATIC, 2761
1, E32_TILE5736__STATIC, 5736
1, E32_TILE5737__STATIC, 5737
1, E32_TILE5846__STATIC, 5846
